跳水明星

一、中国跳水世界冠军一览表
　
时间 姓名 单位 性别 项目 比赛名称 地点
1998 田亮 陕 西 男 跳台双人 第八届世界游泳锦标赛 澳大利亚
1998 孙淑伟 广东 男 跳台双人 第八届世界游泳锦标赛 澳大利亚
1999 周义霖 四川 男 一米跳板 第十一届世界杯跳水赛 新西兰
1999 周义霖 四川 男 混合团体 第十一届世界杯跳水赛 新西兰
1999 王天凌 上海 男 混合团体 第十一届世界杯跳水赛 新西兰
1999 余卓成 广东 男 跳板双人 第十一届世界杯跳水赛 新西兰
1999 余卓成 广东 男 混合团体 第十一届世界杯跳水赛 新西兰
1999 肖海亮 湖北 男 跳板双人 第十一届世界杯跳水赛 新西兰
1999 肖海亮 湖北 男 混合团体 第十一届世界杯跳水赛 新西兰
1999 田亮 陕 西 男 十米跳台 第十一届世界杯跳水赛 新西兰
1999 田亮 陕 西 男 跳台双人 第十一届世界杯跳水赛 新西兰
1999 田亮 陕 西 男 混合团体 第十一届世界杯跳水赛 新西兰
1999 贺伟 四川 男 混合团体 第十一届世界杯跳水赛 新西兰
1999 孙淑伟 广东 男 跳台双人 第十一届世界杯跳水赛 新西兰
1999 孙淑伟 广东 男 混合团体 第十一届世界杯跳水赛 新西兰
1999 张晶 解放军 女 一米跳板 第十一届世界杯跳水赛 新西兰
1999 张晶 解放军 女 混合团体 第十一届世界杯跳水赛 新西兰
1999 杨兰 江苏 女 跳板双人 第十一届世界杯跳水赛 新西兰
1999 杨兰 江苏 女 混合团体 第十一届世界杯跳水赛 新西兰
1999 梁小桥 北京 女 三米跳板 第十一届世界杯跳水赛 新西兰
1999 梁小桥 北京 女 混合团体 第十一届世界杯跳水赛 新西兰
1999 郭晶晶 河北 女 跳板双人 第十一届世界杯跳水赛 新西兰
1999 郭晶晶 河北 女 混合团体 第十一届世界杯跳水赛 新西兰
1999 桑雪 天津 女 十米跳台 第十一届世界杯跳水赛 新西兰
1999 桑雪 天津 女 跳台双人 第一届世界杯跳水赛 新西兰
1999 桑雪 天津 女 混合团体 第十一届世界杯跳水赛 新西兰
1999 李娜 北京 女 跳台双人 第十一届世界杯跳水赛 新西兰
1999 李娜 北京 女 混合团体 第十一届世界杯跳水赛 新西兰

二、跳水名人

熊倪（Xiong Ni）
性别：男
籍贯：湖南长沙
生日：1974.1.6
身高：1.66米
体重：55公斤
项目：跳水

辉煌战绩
   1996年，熊倪在亚特兰大奥运会上勇夺跳台金牌，他的成功让许多人在体会到喜悦的同时，也陷入一种深深的悲凉。因为这枚金牌，8年前便应属于当时年仅14岁的跳水天才。
   熊倪1982年进省队。1986年参加全国跳水冠军赛，一举夺得四项冠军，随即被选入国家队。1987年熊倪首次参加国际比赛，便夺得冠军。同年在一系列国际跳水比赛中连连夺冠。1988年在第24届奥运会上仅仅由于前冠军洛加尼斯的声望征服了裁判而以微弱差距屈居亚军。
   憋着一股气的他在其后的四年里共获得4个世界冠军。在1992年的第25届奥运会上，命运似乎在和这位天才开玩笑，他仅仅获得跳台第三名，不得不再次卧薪尝胆。1996年，他终于在第26届奥运会上为中国赢得了第一枚男子跳板金牌，圆了8年前的奥运冠军梦。
   1997年八运会夺冠后，熊倪退役。但在1998年，面对中国跳水跌入低谷，他毅然复出，表现出一位杰出运动员高度的责任心和荣誉感。复出后的熊倪成绩不断恢复，如今他是中国跳水队赴悉尼奥运会的热门人选，他与肖海亮的双人跳水具备了夺冠实力。熊倪的个人特点是：悟性好，技术精，翻腾高，转体快，姿态美，水花小。
   1988年瑞典杯国际跳水赛男子跳板、跳台两项冠军；
   1988年第24届奥运会跳台亚军；
   1992年第25届奥运会跳台第三名；
   1993年七运会1米板冠军；
   1991-1995年世界杯获得多枚跳台和3米板金、银牌；
   1996年第26届奥运会跳台冠军；
   1997年八运会跳台冠军；
   1999年温州站国际邀请赛跳板冠军，瑞典大奖赛跳板冠军，全国冠军赛跳板和双人冠军；
   2000年世界杯与肖海亮合作夺得跳板双人冠军；
   2000年悉尼奥运会与肖海亮获得男子3米板双人金牌；
   2001年九运会男子3米跳板单人冠军。

桑雪

简介
　　桑雪长得很漂亮，笑起来有两个酒窝，但性格十分好强，年龄不大却有一种霸气。她6岁开始练体操，10岁时改练跳水，1998年3月进入国家队，师从王敏教练。入选国家队不到半年，她第一次出国比赛便在美国举行的友好运动会上，与李娜合作摘得女子十米台双人桂冠。王敏对她的评价是：非常能吃苦，而且永不服输。目前，她的技术难度是全队最高的，如果能稳定发挥，前景看好。桑雪与李娜的双人台是中国跳水队征战悉尼奥运会的一张王牌。平时的桑雪爱画画，尤擅画美少女，爱听王菲、范晓萱和张学友的歌。

以往成绩
   1998年美国友好运动会，10米台个人第三，双人第一（与蔡玉燕）；
   1999年1月世界杯，10米台单人、双人（与李娜）两枚金牌；
   1999年4月济南全国冠军赛，首次获得10米台全国冠军；
   2000年1月世界杯，10米台双人冠军（与李娜）；
   2000年4月全国跳水冠军赛10米台单人、双人（与李娜）两枚金牌；
   2000年5月加拿大国际大奖赛10米台单人第一。

彭勃（Peng bo）
性别：男
出生地：江西
生日：1981.2.18
身高：1.65米
体重：62公斤
项目：跳水

辉煌战绩
   2001年游泳世锦赛男子3米板双人冠军；
   2002年全国跳水冠军赛男子1米板、3米板冠军；
   2002年全国跳水锦标赛男子3米板冠军、1米板第3名；
   2002年世界杯男子3米板单人亚军；
   2003年国际泳联跳水大奖赛澳大利亚站男子3米板双人冠军；
   2003年国际泳联跳水大奖赛中国站男子3米板双人亚军。

李婷（Li Ting）
性别：女
籍贯：广西
生日：1987.4.1
身高：1.55米
体重：40公斤
项目：跳水

辉煌战绩
   李婷与妹妹李娆是来自广西的一对双胞胎姐妹花，她们在2001年九运会上的亮相让所有人都眼前一亮，因为在跳水双人比赛中，两人之间的身材和默契是相当重要的，双胞胎跳双人跳水无疑具有旁人无法比拟的优势。
   2001年友好运动会女子10米跳台双人冠军；
   2001年国际泳联跳水大奖赛莫斯科站女子10米跳台冠军；
   2002年世界杯跳水赛女子10米跳台双人冠军。

“跳水女皇”伏明霞(Fu Mingxia)

项目：跳水
称号：小燕子、跳水女皇
生日：1978年8月16日
身高：160CM
体重：48公斤

1991年第六届世界锦标赛跳台冠军；
成为最年轻的世界冠军并被载入《吉尼斯世界纪录大全》；
1992年巴塞罗那奥运会，10米跳台冠军；
1996年第26届亚特兰大奥运会，跳台、跳板双料冠军；
2000年悉尼奥运会3米跳板单人金牌；3米跳板双人银牌。

拉什科（Irina Lashko）
性别：女
国籍：澳大利亚
生日：1973.1.25
身高：1.63米
体重：53公斤
项目：跳水

辉煌战绩
   拉什科可以说是一直生活在中国选手阴影下的欧洲(俄罗斯)女子跳板第一高手，从未在奥运会项目上夺得过世界冠军。2000年后加入澳大利亚籍。
   1989年欧锦赛女子1米跳板冠军；
   1991年世锦赛女子3米跳板亚军，欧锦赛女子3米跳板冠军、1米跳板亚军；
   1992年奥运会女子3米跳板亚军；
   1993年欧锦赛女子1米跳板亚军；
   1996年奥运会女子3米跳板亚军；
   1997年欧锦赛女子1米跳板亚军；
   1998年世锦赛女子1米跳板冠军；
   1999年欧锦赛女子1米跳板亚军；
   2000年世界杯女子1米跳板冠军；
   以上代表俄罗斯参赛。
   2001年世锦赛女子3米跳板亚军(代表澳大利亚)。

胡佳（Hu Jia）
籍贯：湖北
性别：男
生日：1983.1.10
身高：1.70米
体重：58公斤
项目：跳水

辉煌战绩
   2000年悉尼奥运会男子10米跳台单人、双人亚军；
   2000年国际泳联跳水大奖赛总决赛男子10米跳台冠军；
   2001年世锦赛男子10米跳台双人冠军；
   2001年九运会男子10米跳台亚军；
   2002年全国跳水锦标赛男子10米跳台双人冠军、单人亚军。
   悉尼奥运会前因黄强意外受伤而入选奥运阵容的胡佳及时抓住机会，逐渐走入人们的视野。他虽然资历浅，但技术很有特点，尤其善于与其他队员“配对”。
   胡佳出生在湖北，但很小就前往汕头师从跳水名将谭良德、李青。
   其技术特点为：动作规范、舒展优美。

韩雪

简介：
   韩雪小时候起初练的是跳水，后改练体操，最后才选择了游泳。1986年夏天，韩雪进入北京陶然亭业余体校游泳队。1991年7月，成为新组建的北京市游泳运动学校的首批学生。1993年，12岁的她成为北京市业余体校里面第一个运动健将。1994年到国家游泳队代训，成绩进步飞快，后入选国家队。韩雪在训练初期也曾出现过打退堂鼓的想法，有时她就问爸爸："你怎么就让我练这个了？"爸爸说："你现在得到的是很多孩子付出了跟你差不多的劳动而没有得到的，你要好好珍惜。"从此，韩雪说的最多的一句话就是："干就干出个样儿来。"韩雪成名在蛙泳上面，后来主攻自由泳，也达到世界冠军水平，现在她又将目标放在了混合泳上面。在2000年4月举行的亚锦赛上，她的50米自由泳获得冠军并达到A标，获得了参加悉尼奥运会的资格。韩雪的优势是：爆发力强，水感好，上肢划水力量大，不足是：速度、耐力稍差一些。

以往成绩：
